source,medium,title,url,date,verdict,label,country,keywords,label_clean,title_clean,title_length,word_count
PolitiFact,fact-check,Donald Trump,https://www.politifact.com/personalities/donald-trump/,,“DOGE halts yearly payment of $2.5 million to Barack Obama for ‘royalties linked to Obamacare.’”,Fake,USA,"donald, trump",Fake,Donald Trump,12,2
PolitiFact,fact-check,Anderson Clayton,https://www.politifact.com/personalities/anderson-clayton/,,“North Carolina teachers are already the lowest paid teachers in the south.”,Fake,USA,"anderson, clayton",Fake,Anderson Clayton,16,2
PolitiFact,fact-check,X posts,https://www.politifact.com/personalities/tweets/,,“RFK Jr. flees the scene after Novo Nordisk Executive Gordon Findlay collapsed in the Oval Office.”,Fake,USA,"x, posts",Fake,X posts,7,2
PolitiFact,fact-check,Nancy Mace,https://www.politifact.com/personalities/nancy-mace/,,New York City Mayor-elect Zohran Mamdani “is bringing Sharia law to America.”,Fake,USA,"nancy, mace",Fake,Nancy Mace,10,2
PolitiFact,fact-check,Elon Musk,https://www.politifact.com/personalities/elon-musk/,,“The New York City ballot form is a scam” because “mayoral candidates appear twice.”,Fake,USA,"elon, musk",Fake,Elon Musk,9,2
PolitiFact,fact-check,JB Pritzker,https://www.politifact.com/personalities/jb-pritzker/,,"The federal government “decided to shut down the SNAP machines, so that they can’t be used.”",Fake,USA,"jb, pritzker",Fake,JB Pritzker,11,2
PolitiFact,fact-check,Kristi Noem,https://www.politifact.com/personalities/kristi-noem/,,“No American citizens have been arrested or detained” during the Trump administration’s immigration crackdowns.,Fake,USA,"kristi, noem",Fake,Kristi Noem,11,2
PolitiFact,fact-check,Ron DeSantis,https://www.politifact.com/personalities/ron-desantis/,,"In Florida, “68 to 70% of property tax revenue” is from “second homes, investment properties, commercial properties, Airbnb,” not primary residences.",Fake,USA,"ron, desantis",Fake,Ron DeSantis,12,2
PolitiFact,fact-check,Stephen Miller,https://www.politifact.com/personalities/stephen-miller/,,"“To all ICE officers, you have federal immunity in the conduct of your duties.”",Fake,USA,"stephen, miller",Fake,Stephen Miller,14,2
PolitiFact,fact-check,Social Media,https://www.politifact.com/personalities/social-media/,,Walmart will close to in-store shoppers and allow only online orders and curbside pickup starting Nov. 1 because of an expected Supplemental Nutrition Assistance Program funding lapse.,Fake,USA,"social, media",Fake,Social Media,12,2
PolitiFact,fact-check,Scott Bessent,https://www.politifact.com/personalities/scott-bessent/,"By Paul Specht • November 8, 2025","""Overall, the inflation since President Trump” took office “has come down.""",Fake,USA,"scott, bessent",Fake,Scott Bessent,13,2
PolitiFact,fact-check,The Ronald Reagan Presidential Foundation and Institute,https://www.politifact.com/personalities/ronald-reagan-presidential-foundation-and-institut/,"By Louis Jacobson • October 24, 2025","An ad from the government of Ontario, Canada, “misrepresents” President Ronald Reagan’s April 25, 1987, address about tariffs.",Fake,USA,"the, ronald, reagan, presidential, foundation, and, institute",Fake,The Ronald Reagan Presidential Foundation and Institute,55,7
PolitiFact,fact-check,Hakeem Jeffries,https://www.politifact.com/personalities/hakeem-jeffries/,"By Louis Jacobson • October 24, 2025","“The Trump administration just declared that erecting a ballroom is the president’s main priority,” rather than issues such as the cost of living and health care.",Fake,USA,"hakeem, jeffries",Fake,Hakeem Jeffries,15,2
PolitiFact,fact-check,Rand Paul,https://www.politifact.com/personalities/rand-paul/,"By Maria Briceño • October 16, 2025","“About 25% of the time the Coast Guard boards a ship, there are no drugs.”",Fake,USA,"rand, paul",Fake,Rand Paul,9,2
PolitiFact,fact-check,JD Vance,https://www.politifact.com/personalities/jd-vance/,"By Natalie Ribar • October 15, 2025","""Political violence, it's just a statistical fact that it's a bigger problem on the left.”",Fake,USA,"jd, vance",Fake,JD Vance,8,2
PolitiFact,fact-check,Ted Cruz,https://www.politifact.com/personalities/ted-cruz/,"By Arielle Zionts • October 13, 2025",Democrats are “dishonestly sending around a video from 2017” claiming it was an Oct. 18 ‘No Kings’ rally in Boston.,Fake,USA,"ted, cruz",Fake,Ted Cruz,8,2
PolitiFact,fact-check,Darren Soto,https://www.politifact.com/personalities/darren-soto/,"By Maria Briceño • October 9, 2025",Florida will be the “hardest hit” state in the country if enhanced Affordable Care Act subsidies expire.,Fake,,"darren, soto",Fake,Darren Soto,11,2
PolitiFact,fact-check,Tricia McLaughlin,https://www.politifact.com/personalities/tricia-mclaughlin/,"By Louis Jacobson • September 17, 2025",Un video muestra un “arresto por robo que la policía de Chicago realizó hace más de un año”.,Fake,,"tricia, mclaughlin",Fake,Tricia McLaughlin,17,2
PolitiFact,fact-check,Dan Koh,https://www.politifact.com/personalities/dan-koh/,"By Will Doran • September 12, 2025","As the Trump administration pursues mortgage fraud charges against Letitia James, “there are three Cabinet members who committed mortgage fraud that he’s just letting fly.”",Fake,,"dan, koh",Fake,Dan Koh,7,2
